# Rg    beta propensity
1.61411  23.57142857
1.61985  23.57142857
1.48131  7.142857143
 1.4661  10.71428571
1.47774  7.142857143
 1.4861  4.285714286
 1.4822  4.285714286
1.48706  9.285714286
1.50634  2.857142857
1.51565  17.14285714
1.50212  2.857142857
1.48114  8.571428571
1.52239  17.14285714
1.49131  5.714285714
1.50384  7.142857143
 1.5256  16.42857143
1.46832  14.28571429
1.50382  8.571428571
1.48634  7.142857143
1.51136  15
1.49983  5.714285714
1.46398  15
1.46527  16.42857143
1.45905  17.14285714
1.46917  4.285714286
1.47205  13.57142857
 1.4895  10
1.49242  10
 1.4877  10.71428571
1.45517  14.28571429
1.60083  11.42857143
1.49495  7.142857143
1.59983  15
1.48736  4.285714286
1.54708  5.714285714
1.49993  8.571428571
1.49565  8.571428571
1.51901  18.57142857
1.47022  5.714285714
1.47337  10.71428571
1.51981  17.85714286
1.46383  9.285714286
1.65825  11.42857143
1.50414  7.857142857
1.49413  4.285714286
 1.5098  7.857142857
1.61334  12.85714286
 1.4982  18.57142857
1.47678  7.142857143
1.61738  24.28571429
1.52182  17.85714286
1.60546  10.71428571
1.52313  5
1.54825  5.714285714
1.51405  7.857142857
1.52118  17.14285714
1.50004  9.285714286
1.65107  10
1.60965  24.28571429
1.49969  5.714285714
1.49612  5.714285714
1.63012  24.28571429
1.45702  9.285714286
1.60861  12.14285714
1.47269  16.42857143
1.51945  15
1.51283  15.71428571
1.60557  11.42857143
1.50686  4.285714286
 1.5009  4.285714286
1.47268  7.142857143
1.51839  12.14285714
1.46583  7.142857143
1.63131  10
1.49229  5.714285714
1.50521  9.285714286
1.50661  7.142857143
1.64045  10.71428571
1.63495  11.42857143
1.49782  7.142857143
1.63262  10.71428571
  1.624  10.71428571
1.46165  15.71428571
1.52352  5.714285714
1.52505  4.285714286
1.45907  14.28571429
1.49506  7.142857143
  1.495  7.142857143
1.46548  17.85714286
1.47321  20.71428571
1.49379  7.857142857
 1.4816  22.14285714
1.46042  19.28571429
1.50044  7.142857143
1.51643  2.857142857
1.51432  2.857142857
1.49983  7.142857143
1.50236  6.428571429
1.62211  27.14285714
1.50048  7.857142857
1.61545  23.57142857
1.61821  26.42857143
1.61656  24.28571429
1.46486  16.42857143
1.50394  7.857142857
1.52275  22.14285714
1.61417  20.71428571
1.62379  10.71428571
 1.5193  22.14285714
1.51056  4.285714286
1.57934  4.285714286
1.46462  7.142857143
 1.4542  7.142857143
1.51925  17.14285714
1.47118  7.142857143
1.46382  10.71428571
1.50742  4.285714286
1.50842  1.428571429
1.46146  15
1.55967  4.285714286
 1.5533  4.285714286
1.55446  4.285714286
 1.5522  4.285714286
1.55275  4.285714286
1.46234  4.285714286
1.55671  4.285714286
1.55245  4.285714286
1.49727  2.857142857
1.51439  2.857142857
1.46271  20.71428571
1.50863  5
1.51681  5
1.51026  18.57142857
1.51605  5
1.50734  2.857142857
 1.4593  19.28571429
1.51853  6.428571429
1.52446  2.857142857
1.46164  19.28571429
1.46016  17.85714286
1.46478  15.71428571
1.46217  15
 1.4746  8.571428571
1.45193  19.28571429
1.63569  10.71428571
1.62459  10.71428571
1.46053  17.85714286
1.47676  21.42857143
 1.4696  8.571428571
1.46932  15.71428571
1.63245  11.42857143
1.50882  7.142857143
1.61536  26.42857143
1.62958  25.71428571
1.46541  16.42857143
1.45794  17.85714286
1.63114  27.85714286
1.61783  25
1.51061  6.428571429
1.51524  2.857142857
1.52443  18.57142857
1.46077  7.142857143
1.45733  10
 1.5089  2.857142857
1.45799  11.42857143
1.46256  8.571428571
1.46458  8.571428571
1.50244  5.714285714
1.53266  2.857142857
1.46797  10
1.45485  8.571428571
1.49929  7.142857143
 1.4977  9.285714286
1.45912  18.57142857
1.46504  18.57142857
1.46991  18.57142857
1.45371  20.71428571
1.46088  18.57142857
1.46194  17.14285714
1.52561  15.71428571
1.52775  16.42857143
1.54423  5.714285714
 1.5127  15.71428571
1.52976  14.28571429
1.51755  16.42857143
1.53387  5.714285714
1.46167  17.14285714
1.51838  6.428571429
1.47727  20
 1.4764  23.57142857
 1.5214  5
1.48182  21.42857143
1.47977  20
1.45009  12.14285714
1.61891  28.57142857
1.53242  4.285714286
1.51909  8.571428571
1.52572  15.71428571
1.52592  16.42857143
1.46775  11.42857143
 1.5114  8.571428571
1.52795  15.71428571
1.45889  17.14285714
1.50349  7.142857143
1.46015  18.57142857
 1.4598  18.57142857
 1.5076  18.57142857
1.53452  15
1.51231  17.85714286
1.51449  17.14285714
1.62216  12.14285714
1.61659  26.42857143
1.62872  25.71428571
1.62636  12.85714286
1.62101  27.14285714
1.53557  5.714285714
1.62559  10
1.61996  10
1.52062  14.28571429
1.64701  10.71428571
1.52306  14.28571429
1.51112  8.571428571
1.62608  12.14285714
1.53789  7.857142857
1.64176  12.14285714
1.47602  10
1.46972  10
1.53393  4.285714286
1.53495  6.428571429
1.62375  11.42857143
 1.6196  10.71428571
1.60326  12.14285714
1.51126  14.28571429
 1.6018  12.85714286
1.50501  16.42857143
1.50672  17.85714286
1.55098  6.428571429
 1.4441  16.42857143
 1.5365  6.428571429
1.53877  6.428571429
1.46615  11.42857143
1.45971  10
1.48557  10.71428571
1.53216  6.428571429
1.52043  15
1.46271  10
1.46494  13.57142857
1.46485  8.571428571
1.55706  5.714285714
1.53158  2.857142857
1.44931  14.28571429
1.53034  6.428571429
1.46507  16.42857143
1.45261  16.42857143
1.47822  19.28571429
1.54242  15.71428571
1.50457  4.285714286
1.50374  4.285714286
1.50661  4.285714286
1.51616  8.571428571
1.55017  5.714285714
1.55715  5.714285714
1.50295  16.42857143
1.53199  8.571428571
1.45399  17.14285714
1.50845  2.857142857
1.46327  6.428571429
1.47469  6.428571429
1.48935  20
1.52393  7.142857143
1.46086  10
1.50641  4.285714286
1.46161  10
1.46538  7.857142857
1.50701  4.285714286
1.51122  5.714285714
1.47503  12.14285714
1.52263  8.571428571
1.49188  10.71428571
1.46589  8.571428571
1.51789  7.142857143
1.51238  8.571428571
1.46783  7.142857143
1.50606  8.571428571
1.47873  12.14285714
1.54278  5.714285714
 1.5135  1.428571429
1.48069  22.14285714
1.48893  10.71428571
1.47961  10.71428571
1.47198  9.285714286
1.51339  16.42857143
 1.4996  18.57142857
1.47602  20
1.49407  15
1.51502  8.571428571
1.51572  8.571428571
 1.4823  21.42857143
1.47665  7.857142857
1.53259  2.857142857
1.52698  5.714285714
 1.5255  2.857142857
1.45496  10
1.52565  4.285714286
1.50702  15.71428571
1.51747  2.857142857
1.50519  2.857142857
1.51185  4.285714286
1.49986  2.857142857
1.52678  17.14285714
1.60089  12.14285714
1.49662  7.142857143
1.49491  7.142857143
1.51984  15
1.49292  5.714285714
1.50927  14.28571429
1.50415  15
1.45979  12.14285714
1.46354  6.428571429
 1.4675  7.857142857
1.47629  7.142857143
1.52284  5.714285714
1.48478  7.142857143
1.51484  4.285714286
   1.52  4.285714286
1.47242  7.857142857
1.51452  4.285714286
1.47846  12.14285714
1.48405  10.71428571
1.51075  7.857142857
 1.5154  18.57142857
1.52554  5.714285714
1.49226  12.14285714
1.52641  5.714285714
1.53021  7.857142857
1.51089  16.42857143
1.48744  10
1.49562  18.57142857
1.50347  17.14285714
1.53129  4.285714286
1.52324  5.714285714
1.50126  7.142857143
1.47865  7.857142857
1.48155  7.142857143
1.63336  11.42857143
1.53339  5.714285714
1.51846  5
1.50693  16.42857143
1.51196  8.571428571
1.50335  17.85714286
 1.6214  9.285714286
1.51865  4.285714286
1.49649  7.142857143
1.47606  5.714285714
1.62687  27.85714286
1.53384  5.714285714
1.62162  7.857142857
1.62543  7.857142857
1.52493  7.857142857
1.48945  7.142857143
1.48497  5.714285714
1.48419  18.57142857
1.48783  7.142857143
1.48673  12.14285714
1.52637  5.714285714
1.52811  17.14285714
1.51759  5.714285714
1.49913  7.142857143
1.51608  17.14285714
1.51513  17.14285714
1.48315  18.57142857
1.49481  10.71428571
1.48935  12.14285714
1.51906  4.285714286
 1.5221  17.14285714
1.51391  16.42857143
1.51786  17.14285714
1.50189  7.142857143
1.52017  16.42857143
1.49567  7.142857143
1.50189  7.142857143
1.59998  7.857142857
1.60637  7.857142857
 1.4904  7.142857143
1.53336  7.857142857
1.50079  7.142857143
 1.6344  23.57142857
1.51061  17.85714286
1.50537  17.14285714
1.60554  7.857142857
1.60752  7.857142857
 1.5137  6.428571429
 1.5018  2.857142857
1.50469  5
1.47702  21.42857143
1.59897  11.42857143
1.50058  2.857142857
1.50309  4.285714286
1.62704  12.14285714
 1.6256  12.85714286
1.50741  5
1.47481  21.42857143
1.48026  21.42857143
 1.4896  12.14285714
1.60545  11.42857143
1.50268  4.285714286
1.49196  21.42857143
1.49262  20.71428571
1.61855  26.42857143
1.52844  7.857142857
1.52556  15.71428571
1.47617  9.285714286
1.53566  8.571428571
1.52945  7.857142857
1.48717  21.42857143
1.50604  7.142857143
1.48104  9.285714286
1.47844  12.14285714
1.49736  7.142857143
1.63041  11.42857143
1.50134  5.714285714
1.53367  5.714285714
1.61263  10
 1.5007  7.142857143
 1.4981  21.42857143
1.47648  13.57142857
1.49515  7.142857143
1.50909  7.142857143
1.47633  5.714285714
1.51962  16.42857143
 1.5361  17.14285714
1.53708  7.142857143
